,Crop,Growth Phase,Water Requirement (mm/day)
0,Maize,Germination,1.2
1,Maize,Vegetative growth,1.3
2,Maize,Elongation,4.9
3,Maize,Flowering,6.1
4,Maize,Harvesting,2.0
5,Tomato,Germination,0.45
6,Tomato,Vegetative growth,6.02
7,Tomato,Elongation,4.18
8,Tomato,Flowering,1.03
9,Tomato,Harvesting,0.65
10,Onion,Germination,0.5
11,Onion,Vegetative growth,0.75
12,Onion,Elongation,1.0
13,Onion,Flowering,0.87
14,Onion,Harvesting,0.8
15,Strawberry,Germination,3.62
16,Strawberry,Vegetative growth,3.57
17,Strawberry,Elongation,5.44
18,Strawberry,Flowering,5.44
19,Strawberry,Harvesting,6.28
20,Groundnut,Germination,3.0
21,Groundnut,Vegetative growth,4.5
22,Groundnut,Elongation,5.5
23,Groundnut,Flowering,6.0
24,Groundnut,Harvesting,4.0
25,Cotton,Germination,2.0
26,Cotton,Vegetative growth,3.5
27,Cotton,Elongation,5.0
28,Cotton,Flowering,6.5
29,Cotton,Harvesting,4.0
